Year	Quarter	t	Value
2013	Q1	1	232.7
2013	Q2	2	309.2
2013	Q3	3	310.7
2013	Q4	4	293
2014	Q1	5	205.1
2014	Q2	6	234.4
2014	Q3	7	285.4
2014	Q4	8	258.7
2015	Q1	9	193.2
2015	Q2	10	263.7
2015	Q3	11	292.5
2015	Q4	12	315.2
2016	Q1	13	178.3
2016	Q2	14	274.5
2016	Q3	15	295.4
2016	Q4	16	286.4
2017	Q1	17	190.8
2017	Q2	18	263.5
2017	Q3	19	318.8
2017	Q4	20	305.3
2018	Q1	21	242.6
2018	Q2	22	318.8
2018	Q3	23	329.6
2018	Q4	24	338.2
2019	Q1	25	232.1
2019	Q2	26	285.6
2019	Q3	27	291
2019	Q4	28	281.4
