;Output;Input_1;Input_2;Input_3;Input_4;Input_5;Input_6
01/06/2020 01:00;77.30184752;7956.306758;4.504717496;11.58859545;106.005488;12.80622599;55.1206965
01/06/2020 00:00;82.52920442;7984.083042;4.728040857;11.13534578;96.85156028;12.3412559;51.10740084
31/05/2020 23:00;73.48076305;7882.220342;4.51010682;13.92425661;91.86162336;13.7993338;61.50406115
31/05/2020 22:00;81.6244231;8194.176721;4.261714313;8.707002327;99.12753216;15.5067469;49.45646308
31/05/2020 21:00;77.67752223;8353.724133;4.439228559;13.59862234;99.231788;15.75742223;42.8459308
31/05/2020 20:00;77.62106989;7777.908269;4.128115492;11.90514684;103.7144132;10.75863981;42.64961623
31/05/2020 19:00;78.64997941;7925.242553;4.516171135;11.04329629;95.15732433;11.44815012;55.70179989
31/05/2020 18:00;83.6638565;8280.250991;4.680842129;10.75401946;102.6432939;14.02483521;46.59186002
31/05/2020 17:00;77.79888161;8054.160298;4.616127428;14.12876353;103.3945761;14.37321314;50.7918403
31/05/2020 16:00;79.61440157;7879.492341;4.606142963;13.04575122;90.74712296;9.955466865;45.07607344
31/05/2020 15:00;72.34928797;7967.310335;4.597417868;10.25499919;98.84805237;14.16249955;51.59812027
31/05/2020 14:00;64.82396993;7319.318957;4.642189589;12.08713163;101.8971711;15.18253233;41.51747014
31/05/2020 13:00;79.93907421;8119.436608;4.673140611;9.98858109;98.18928141;15.68976972;49.13320639
31/05/2020 12:00;80.2275041;8044.966978;4.680525007;14.03136929;98.17839441;10.30283248;48.31613542
31/05/2020 11:00;82.42451981;8132.646415;4.82210607;11.40990935;106.9724569;11.30971756;47.84817272
31/05/2020 10:00;81.41329463;8309.433916;4.652777605;13.20225778;90.77371522;11.85690589;47.14262482
31/05/2020 09:00;78.76355483;8082.40802;4.432976504;12.66419341;103.8796119;12.91626664;46.91002406
31/05/2020 08:00;75.81331502;8009.187682;4.617865816;9.846173658;104.6554049;10.75918985;47.19442367
31/05/2020 07:00;75.34754945;7912.192064;4.552010312;14.00420185;100.3939576;15.72605343;56.40109322
31/05/2020 06:00;81.02231162;7931.370765;4.538742592;12.89269444;98.5835888;14.4094601;58.21385438
31/05/2020 05:00;73.14141982;7893.620475;4.48775404;11.82107284;100.2540353;11.68981711;47.27406028
31/05/2020 04:00;80.40761257;7823.755318;4.488842867;9.118035155;95.39601232;13.98265915;53.93888271
31/05/2020 03:00;72.30392912;7778.770115;4.711215078;13.98322411;106.5970391;12.57087074;44.68319328
31/05/2020 02:00;79.25225371;7871.528768;4.640317629;11.67526145;94.02605155;14.45462648;49.02838725
31/05/2020 01:00;80.22538606;7984.363757;4.620110893;13.58143611;102.883313;15.07385103;48.59103708
31/05/2020 00:00;79.59033993;7977.556784;4.799108708;9.749017118;93.50041937;15.28743979;53.64566927
30/05/2020 23:00;81.64043253;7992.520803;4.841584994;13.93515511;99.99385537;11.25197926;48.5228036
30/05/2020 22:00;80.92905494;7811.06833;5.129653312;14.01882771;91.36659559;14.3595158;54.54284087
30/05/2020 21:00;72.04061505;7839.25686;5.253682231;11.5506249;102.2010587;18.08818083;49.22806511
30/05/2020 20:00;72.2808759;7707.544742;5.307836823;14.53007298;97.50797943;13.2772453;60.16715366
30/05/2020 19:00;73.67208577;7920.791331;5.30855505;13.96277584;95.85152296;13.88493336;53.48833635
30/05/2020 18:00;78.2772211;8149.734962;5.379725084;11.92926907;96.30548294;9.839102671;45.57279938
30/05/2020 17:00;78.00191676;7891.51147;5.428691074;14.97129556;99.08087424;12.18389693;48.33808245
30/05/2020 16:00;82.00090642;7969.716218;5.479499807;12.5422977;96.68847525;11.66451464;39.30680459
30/05/2020 15:00;79.96844072;8288.49476;5.747326075;14.92246783;93.92988149;13.01273897;51.0645782
30/05/2020 14:00;77.66390351;7916.482028;5.89761972;13.28000256;88.05202264;14.2346101;48.02614154
30/05/2020 13:00;83.17470077;8234.782017;5.852327724;16.00256724;104.1263053;12.82770393;49.78156008
30/05/2020 12:00;75.35443868;8245.773332;6.061877619;14.70632301;94.98553125;10.72995867;58.57972539
30/05/2020 11:00;78.90732008;7952.811692;5.850932103;12.90627337;100.9597372;11.22304896;62.20186667
30/05/2020 10:00;78.60502951;8295.170236;5.969710123;13.81170843;98.29247412;9.730837892;48.11059072
30/05/2020 09:00;78.07806016;7817.952773;6.30771045;12.86018117;105.7115765;13.8648181;48.75086702
30/05/2020 08:00;78.0034314;7925.015615;6.560251301;13.37338228;97.28060785;12.04139192;52.24951545
30/05/2020 07:00;78.43378236;8105.610642;6.434633641;16.11847337;101.3481438;12.94334363;43.7933959
30/05/2020 06:00;70.77966938;8127.106472;6.654310645;13.56237739;108.4125762;10.10803303;56.02654901
30/05/2020 05:00;75.27424936;8297.247804;6.718321367;15.90938478;97.84316994;13.39042095;50.46147666
30/05/2020 04:00;79.15341438;7825.788091;6.873507149;18.4079743;94.09142979;13.78421903;54.9442547
30/05/2020 03:00;72.93097496;7995.05236;6.752372999;15.75124371;95.89933614;14.46865062;51.43735803
30/05/2020 02:00;80.53310838;8104.611886;6.73437416;16.11051155;102.6060828;11.32875227;49.42535973
30/05/2020 01:00;70.09581688;8000.789074;6.829035569;13.82590689;107.140778;10.21458328;41.27408217
30/05/2020 00:00;77.43355371;8343.333888;7.089458591;14.27700304;103.1095565;14.41851041;44.04314516
29/05/2020 23:00;74.2088782;7827.937901;6.985861365;14.00883839;99.13045248;15.2146518;57.60594437
29/05/2020 22:00;74.49950196;8008.002065;7.30491621;18.44366715;95.9198333;9.576113753;50.57576015
29/05/2020 21:00;68.64091314;7809.339091;7.331247651;17.96457974;96.93309179;11.20872755;48.70188396
29/05/2020 20:00;70.08534118;7844.207327;7.416120129;16.304856;102.9379526;14.25048978;54.35097151
29/05/2020 19:00;72.64759459;7867.50303;7.693698412;16.58073211;99.65441477;17.41740905;46.27797492
29/05/2020 18:00;80.47679645;8293.669065;7.890090428;20.60503679;104.8416831;10.38345317;45.40852052
29/05/2020 17:00;73.2175423;7841.603471;7.969138759;19.42808201;103.6603881;13.11894922;48.58845552
29/05/2020 16:00;71.51523754;7991.586545;7.700016584;16.92880891;103.1796854;15.18556422;49.43958522
29/05/2020 15:00;71.56503738;7872.860954;7.686415826;18.60807649;95.85568404;14.39220831;43.73478804
29/05/2020 14:00;65.9076112;7802.692178;7.680918116;16.01963821;110.0623939;12.65940835;44.68342576
29/05/2020 13:00;67.9121327;7922.48786;7.880666603;20.72043331;97.2579268;15.23106457;46.41906676
29/05/2020 12:00;76.87690429;8164.108755;8.089088929;19.98105298;95.41940113;11.98130735;45.44556202
29/05/2020 11:00;71.19945275;7951.570641;8.272331486;19.07973632;101.3304266;13.95796439;50.16882189
29/05/2020 10:00;68.62624238;8148.05166;8.566680613;20.37960837;89.05362114;16.53701837;53.46224596
29/05/2020 09:00;68.39045143;8076.612068;8.682450345;21.33400833;97.50565394;14.32201343;48.28778216
29/05/2020 08:00;84.12662387;8269.559972;8.726362924;20.89384227;99.50635026;8.723776089;55.46014245
29/05/2020 07:00;73.36041405;8115.554146;8.57641155;18.48704837;101.7648124;13.28912782;54.48902198
29/05/2020 06:00;68.28456413;7808.778643;8.549522715;18.85386147;95.10424719;12.98671067;48.7959035
29/05/2020 05:00;73.24112112;8064.606322;8.659519894;21.13214206;101.4446853;11.40465521;47.28814699
29/05/2020 04:00;67.62457203;7947.962541;8.630168766;19.57066312;89.82722634;9.303069271;64.70283759
29/05/2020 03:00;70.30743088;8050.29058;8.663130787;17.73166506;106.2090663;13.20055091;46.5039133
29/05/2020 02:00;65.21933454;7828.432965;8.607021382;18.9959869;99.24197261;12.86249196;41.8118847
29/05/2020 01:00;69.12519659;7835.806932;8.845351588;18.19561212;107.1031003;14.22273505;50.28575645
29/05/2020 00:00;70.73945756;7644.741241;8.901340625;21.92055382;109.6509293;12.34147909;40.6784827
28/05/2020 23:00;74.41063474;8117.697366;9.036846256;18.11471944;98.69050314;13.67327848;44.42939472
28/05/2020 22:00;72.17472084;8103.250822;8.939632445;20.33633307;102.0074674;11.01910456;50.97750882
28/05/2020 21:00;75.28879085;8049.626725;9.040786265;18.2001845;106.3195246;15.5390763;51.54465913
28/05/2020 20:00;67.48621576;8080.481586;8.588017025;19.2450493;95.21228187;11.81346631;49.21375704
28/05/2020 19:00;72.02830355;7954.546987;8.612855913;21.73865349;95.26442795;14.30889705;35.71318503
28/05/2020 18:00;73.17812908;8251.891834;8.508907348;17.54337142;85.74695291;15.27993589;42.49314132
28/05/2020 17:00;79.60508955;8117.905572;8.377439426;18.854715;103.1744502;13.74340615;47.40912636
28/05/2020 16:00;72.7780428;8178.01718;8.338666127;19.14702967;95.96652259;13.4677784;47.20685066
28/05/2020 15:00;69.95341455;7967.288994;8.300655808;17.0035939;105.2466904;15.4843221;55.87695568
28/05/2020 14:00;66.79631363;7981.721869;8.100522319;18.78307206;100.5342371;8.417060183;46.90016122
